CHROM,POS,fixed,pcadapt,Allele,Annotation,putative_impact,gene(s),uniprot1_id,uniprot1_gene,uniprot1_protein,uniprot1_url,uniprot2_id,uniprot2_gene,uniprot2_protein,uniprot2_url
Sc0000001,3227717,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=A,intron_variant,MODIFIER,pspe_0.1.m1.2358,Q9P2D7,DNAH1 DHC7 DNAHC1 KIAA1410,Dynein heavy chain 1, axonemal (Axonemal beta dynein heavy chain 1) (Ciliary dynein heavy chain 1) (Heat shock regulated protein 1) (HSRF-1) (hDHC7),https://www.uniprot.org/uniprot/Q9P2D7,NA,NA,NA,NA
Sc0000001,3227718,,out_GRNvISR;out_BLUvRED;out_BLUvGRN;out_REDvISR,ANN=C,intron_variant,MODIFIER,pspe_0.1.m1.2358,Q9P2D7,DNAH1 DHC7 DNAHC1 KIAA1410,Dynein heavy chain 1, axonemal (Axonemal beta dynein heavy chain 1) (Ciliary dynein heavy chain 1) (Heat shock regulated protein 1) (HSRF-1) (hDHC7),https://www.uniprot.org/uniprot/Q9P2D7,NA,NA,NA,NA
Sc0000001,376167,fix_ISRvsRED,out_BLUvRED;out_REDvISR,ANN=A,missense_variant,MODERATE,pspe_0.1.m1.2147,Q8C206,Gpr157,G-protein coupled receptor 157,https://www.uniprot.org/uniprot/Q8C206,NA,NA,NA,NA
Sc0000001,4159689,,out_BLUvISR;out_REDvISR,ANN=G,upstream_gene_variant,MODIFIER,pspe_0.1.m1.2422,NA,NA,NA,NA,NA,NA,NA,NA
Sc0000001,4307023,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=T,intergenic_region,MODIFIER,pspe_0.1.m1.2428-pspe_0.1.m1.2439,Q9JL58,KCNK9 TASK3,Potassium channel subfamily K member 9 (Acid-sensitive potassium channel protein TASK-3) (TWIK-related acid-sensitive K(+) channel 3),https://www.uniprot.org/uniprot/Q9JL58,NA,NA,NA,NA
Sc0000001,4307031,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=A,intergenic_region,MODIFIER,pspe_0.1.m1.2428-pspe_0.1.m1.2439,Q9JL58,KCNK9 TASK3,Potassium channel subfamily K member 9 (Acid-sensitive potassium channel protein TASK-3) (TWIK-related acid-sensitive K(+) channel 3),https://www.uniprot.org/uniprot/Q9JL58,NA,NA,NA,NA
Sc0000001,4560829,,out_GRNvISR,ANN=G,synonymous_variant,LOW,pspe_0.1.m1.2456,A8K8P3,SFI1 KIAA0542,Protein SFI1 homolog (hSFI1),https://www.uniprot.org/uniprot/A8K8P3,NA,NA,NA,NA
Sc0000001,46967,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=C,5_prime_UTR_variant,MODIFIER,pspe_0.1.m1.2123,Q7T2H2,FGFRL1,Fibroblast growth factor receptor-like 1,https://www.uniprot.org/uniprot/Q7T2H2,NA,NA,NA,NA
Sc0000001,827854,,out_GRNvISR;out_BLUvGRN,ANN=C,intron_variant,MODIFIER,pspe_0.1.m1.2186,Q05B30,wdr91,WD repeat-containing protein 91,https://www.uniprot.org/uniprot/Q05B30,NA,NA,NA,NA
Sc0000001,883660,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=A,intron_variant,MODIFIER,pspe_0.1.m1.2190,Q9CZR2,Naalad2,N-acetylated-alpha-linked acidic dipeptidase 2 (EC 3.4.17.21) (Glutamate carboxypeptidase III) (GCPIII) (N-acetylaspartylglutamate peptidase II) (NAAG-peptidase II) (N-acetylated-alpha-linked acidic dipeptidase II) (NAALADase II),https://www.uniprot.org/uniprot/Q9CZR2,NA,NA,NA,NA
Sc0000001,990166,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=A,intron_variant,MODIFIER,pspe_0.1.m1.2197,Q6DRN3,noc3l,Nucleolar complex protein 3 homolog (NOC3 protein homolog) (NOC3-like protein) (Nucleolar complex-associated protein 3-like protein),https://www.uniprot.org/uniprot/Q6DRN3,NA,NA,NA,NA
Sc0000004,20903,,out_BLUvISR;out_REDvISR,ANN=A,downstream_gene_variant,MODIFIER,pspe_0.1.m1.5240,Q9Z1L4,Rs1 Rs1h Xlrs1,Retinoschisin (X-linked juvenile retinoschisis protein homolog),https://www.uniprot.org/uniprot/Q9Z1L4,NA,NA,NA,NA
Sc0000004,20908,,out_BLUvISR;out_REDvISR,ANN=T,downstream_gene_variant,MODIFIER,pspe_0.1.m1.5240,Q9Z1L4,Rs1 Rs1h Xlrs1,Retinoschisin (X-linked juvenile retinoschisis protein homolog),https://www.uniprot.org/uniprot/Q9Z1L4,NA,NA,NA,NA
Sc0000004,20991,,out_REDvISR,ANN=T,downstream_gene_variant,MODIFIER,pspe_0.1.m1.5240,Q9Z1L4,Rs1 Rs1h Xlrs1,Retinoschisin (X-linked juvenile retinoschisis protein homolog),https://www.uniprot.org/uniprot/Q9Z1L4,NA,NA,NA,NA
Sc0000004,2305705,,out_BLUvISR;out_REDvISR,ANN=A,upstream_gene_variant,MODIFIER,pspe_0.1.m1.5394,NA,NA,NA,NA,NA,NA,NA,NA
Sc0000005,1002950,,out_BLUvISR,ANN=A,missense_variant,MODERATE,pspe_0.1.m1.5540,Q60525,Wrap53 Gnb5 Tcab1 Wdr79,Telomerase Cajal body protein 1 (Guanine nucleotide-binding protein beta 5) (WD repeat-containing protein 79) (WD40 repeat-containing protein antisense to TP53 gene homolog),https://www.uniprot.org/uniprot/Q60525,NA,NA,NA,NA
Sc0000005,1002951,,out_BLUvISR,ANN=T,synonymous_variant,LOW,pspe_0.1.m1.5540,Q60525,Wrap53 Gnb5 Tcab1 Wdr79,Telomerase Cajal body protein 1 (Guanine nucleotide-binding protein beta 5) (WD repeat-containing protein 79) (WD40 repeat-containing protein antisense to TP53 gene homolog),https://www.uniprot.org/uniprot/Q60525,NA,NA,NA,NA
Sc0000005,128904,fix_GRNvsRED,out_GRNvISR;out_BLUvISR;out_GRNvRED;out_BLUvRED,ANN=C,intergenic_region,MODIFIER,pspe_0.1.m1.5489-pspe_0.1.m1.5494,NA,NA,NA,NA,NA,NA,NA,NA
Sc0000005,159657,,out_BLUvISR,ANN=A,downstream_gene_variant,MODIFIER,pspe_0.1.m1.5496,P10768,ESD,S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D) (Methylumbelliferyl-acetate deacetylase) (EC 3.1.1.56),https://www.uniprot.org/uniprot/P10768,NA,NA,NA,NA
Sc0000005,159660,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=C,downstream_gene_variant,MODIFIER,pspe_0.1.m1.5496,P10768,ESD,S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D) (Methylumbelliferyl-acetate deacetylase) (EC 3.1.1.56),https://www.uniprot.org/uniprot/P10768,NA,NA,NA,NA
Sc0000005,159661,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=T,downstream_gene_variant,MODIFIER,pspe_0.1.m1.5496,P10768,ESD,S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D) (Methylumbelliferyl-acetate deacetylase) (EC 3.1.1.56),https://www.uniprot.org/uniprot/P10768,NA,NA,NA,NA
Sc0000005,159696,,out_REDvISR,ANN=A,downstream_gene_variant,MODIFIER,pspe_0.1.m1.5496,P10768,ESD,S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D) (Methylumbelliferyl-acetate deacetylase) (EC 3.1.1.56),https://www.uniprot.org/uniprot/P10768,NA,NA,NA,NA
Sc0000005,159716,,out_REDvISR,ANN=G,downstream_gene_variant,MODIFIER,pspe_0.1.m1.5496,P10768,ESD,S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D) (Methylumbelliferyl-acetate deacetylase) (EC 3.1.1.56),https://www.uniprot.org/uniprot/P10768,NA,NA,NA,NA
Sc0000005,2571510,,out_REDvISR,ANN=T,intron_variant,MODIFIER,pspe_0.1.m1.5629,Q95135,SLC1A1 EAAC1 EAAT3,Excitatory amino acid transporter 3 (Excitatory amino-acid carrier 1) (Renal high affinity glutamate transporter EAAC1) (Sodium-dependent glutamate/aspartate transporter 3) (Solute carrier family 1 member 1),https://www.uniprot.org/uniprot/Q95135,NA,NA,NA,NA
Sc0000005,2571571,,out_REDvISR,ANN=C,intron_variant,MODIFIER,pspe_0.1.m1.5629,Q95135,SLC1A1 EAAC1 EAAT3,Excitatory amino acid transporter 3 (Excitatory amino-acid carrier 1) (Renal high affinity glutamate transporter EAAC1) (Sodium-dependent glutamate/aspartate transporter 3) (Solute carrier family 1 member 1),https://www.uniprot.org/uniprot/Q95135,NA,NA,NA,NA
Sc0000005,2755277,,out_BLUvISR,ANN=C,intergenic_region,MODIFIER,pspe_0.1.m1.5634-pspe_0.1.m1.5642,P40724,recQ STM3958 STMD1.32,ATP-dependent DNA helicase RecQ (EC 3.6.4.12),https://www.uniprot.org/uniprot/P40724,Q7T199,KCNA10,Potassium voltage-gated channel subfamily A member 10,https://www.uniprot.org/uniprot/Q7T199
Sc0000005,3092367,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=G,intron_variant,MODIFIER,pspe_0.1.m1.5655,Q91VS8,Farp2 Kiaa0793,FERM, ARHGEF and pleckstrin domain-containing protein 2 (FERM domain including RhoGEF) (FIR) (FERM, RhoGEF and pleckstrin domain-containing protein 2),https://www.uniprot.org/uniprot/Q91VS8,NA,NA,NA,NA
Sc0000005,3253450,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=G,intergenic_region,MODIFIER,pspe_0.1.m1.5661-pspe_0.1.m1.5670,NA,NA,NA,NA,Q5VV17,OTUD1 DUBA7 OTDC1,OTU domain-containing protein 1 (EC 3.4.19.12) (DUBA-7),https://www.uniprot.org/uniprot/Q5VV17
Sc0000006,1095614,,out_GRNvISR;out_BLUvISR,ANN=C,intergenic_region,MODIFIER,pspe_0.1.m1.5736-pspe_0.1.m1.5748,NA,NA,NA,NA,Q58DS6,JMJD6 PTDSR,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (EC 1.14.11.-) (Histone arginine demethylase JMJD6) (JmjC domain-containing protein 6) (Jumonji domain-containing protein 6) (Lysyl-hydroxylase JMJD6) (Peptide-lysine 5-dioxygenase JMJD6) (Phosphatidylserine receptor) (Protein PTDSR),https://www.uniprot.org/uniprot/Q58DS6
Sc0000006,1095677,,out_REDvISR,ANN=T,intergenic_region,MODIFIER,pspe_0.1.m1.5736-pspe_0.1.m1.5748,NA,NA,NA,NA,Q58DS6,JMJD6 PTDSR,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (EC 1.14.11.-) (Histone arginine demethylase JMJD6) (JmjC domain-containing protein 6) (Jumonji domain-containing protein 6) (Lysyl-hydroxylase JMJD6) (Peptide-lysine 5-dioxygenase JMJD6) (Phosphatidylserine receptor) (Protein PTDSR),https://www.uniprot.org/uniprot/Q58DS6
Sc0000006,1095706,,out_GRNvISR;out_GRNvRED;out_BLUvGRN,ANN=T,intergenic_region,MODIFIER,pspe_0.1.m1.5736-pspe_0.1.m1.5748,NA,NA,NA,NA,Q58DS6,JMJD6 PTDSR,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 (EC 1.14.11.-) (Histone arginine demethylase JMJD6) (JmjC domain-containing protein 6) (Jumonji domain-containing protein 6) (Lysyl-hydroxylase JMJD6) (Peptide-lysine 5-dioxygenase JMJD6) (Phosphatidylserine receptor) (Protein PTDSR),https://www.uniprot.org/uniprot/Q58DS6
Sc0000006,1457616,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=T,intergenic_region,MODIFIER,pspe_0.1.m1.5769-pspe_0.1.m1.5766,Q96P53,WDFY2 WDF2 ZFYVE22,WD repeat and FYVE domain-containing protein 2 (Propeller-FYVE protein) (Prof) (WD40- and FYVE domain-containing protein 2) (Zinc finger FYVE domain-containing protein 22),https://www.uniprot.org/uniprot/Q96P53,O00410,IPO5 KPNB3 RANBP5,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),https://www.uniprot.org/uniprot/O00410
Sc0000006,1712941,,out_REDvISR,ANN=G,intergenic_region,MODIFIER,pspe_0.1.m1.5778-pspe_0.1.m1.5780,P25931,RYa-R NepYr CG5811,RYamide receptor (Neuropeptide Y-like receptor) (NPY-R),https://www.uniprot.org/uniprot/P25931,P25931,RYa-R NepYr CG5811,RYamide receptor (Neuropeptide Y-like receptor) (NPY-R),https://www.uniprot.org/uniprot/P25931
Sc0000006,1753011,,out_REDvISR,ANN=C,splice_region_variant&intron_variant,LOW,pspe_0.1.m1.5788,O46043,Parg CG2864,Poly(ADP-ribose) glycohydrolase (EC 3.2.1.143),https://www.uniprot.org/uniprot/O46043,NA,NA,NA,NA
Sc0000006,2502604,,out_GRNvISR,ANN=C,upstream_gene_variant,MODIFIER,pspe_0.1.m1.5841,O60462,NRP2 VEGF165R2,Neuropilin-2 (Vascular endothelial cell growth factor 165 receptor 2),https://www.uniprot.org/uniprot/O60462,NA,NA,NA,NA
Sc0000006,2502646,,out_GRNvISR,ANN=T,upstream_gene_variant,MODIFIER,pspe_0.1.m1.5841,O60462,NRP2 VEGF165R2,Neuropilin-2 (Vascular endothelial cell growth factor 165 receptor 2),https://www.uniprot.org/uniprot/O60462,NA,NA,NA,NA
Sc0000006,2502668,,out_GRNvISR,ANN=A,upstream_gene_variant,MODIFIER,pspe_0.1.m1.5841,O60462,NRP2 VEGF165R2,Neuropilin-2 (Vascular endothelial cell growth factor 165 receptor 2),https://www.uniprot.org/uniprot/O60462,NA,NA,NA,NA
Sc0000006,292994,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=T,upstream_gene_variant,MODIFIER,pspe_0.1.m1.5686,Q7Z5N4,SDK1,Protein sidekick-1,https://www.uniprot.org/uniprot/Q7Z5N4,NA,NA,NA,NA
Sc0000006,2932830,,out_REDvISR,ANN=T,upstream_gene_variant,MODIFIER,pspe_0.1.m1.5871,Q503Y7,pin4 zgc:110008,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 (EC 5.2.1.8) (Parvulin-14) (Par14) (Peptidyl-prolyl cis-trans isomerase Pin4) (PPIase Pin4) (Rotamase Pin4),https://www.uniprot.org/uniprot/Q503Y7,NA,NA,NA,NA
Sc0000006,2932848,,out_BLUvISR;out_REDvISR,ANN=T,upstream_gene_variant,MODIFIER,pspe_0.1.m1.5871,Q503Y7,pin4 zgc:110008,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 (EC 5.2.1.8) (Parvulin-14) (Par14) (Peptidyl-prolyl cis-trans isomerase Pin4) (PPIase Pin4) (Rotamase Pin4),https://www.uniprot.org/uniprot/Q503Y7,NA,NA,NA,NA
Sc0000006,3153337,,out_BLUvISR;out_REDvISR,ANN=C,downstream_gene_variant,MODIFIER,pspe_0.1.m1.5890,O35817,Akap14 Takap80,A-kinase anchor protein 14 (AKAP-14) (TAKAP-1.2) (Testis-specific A-kinase-anchoring protein TAKAP-80),https://www.uniprot.org/uniprot/O35817,NA,NA,NA,NA
Sc0000007,1190920,fix_ISRvsBLU,out_GRNvISR;out_BLUvISR,ANN=C,intergenic_region,MODIFIER,pspe_0.1.m1.5992-pspe_0.1.m1.5994,A2ASS6,Ttn,Titin (EC 2.7.11.1) (Connectin),https://www.uniprot.org/uniprot/A2ASS6,Q28FM1,ranbp9 ranbp10 ranbpm TNeu108a21.1,Ran-binding protein 9 (RanBP9) (Ran-binding protein 10) (RanBP10) (Ran-binding protein M) (RanBPM),https://www.uniprot.org/uniprot/Q28FM1
Sc0000007,1264978,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=A,intergenic_region,MODIFIER,pspe_0.1.m1.5995-pspe_0.1.m1.6003,Q96AY4,TTC28 KIAA1043 TPRBK,Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio),https://www.uniprot.org/uniprot/Q96AY4,Q58L91,,Venom prothrombin activator oscutarin-C non-catalytic subunit (vPA) (Venom coagulation factor Va-like protein) [Cleaved into: Oscutarin-C non-catalytic subunit heavy chain; Oscutarin-C non-catalytic subunit light chain],https://www.uniprot.org/uniprot/Q58L91
Sc0000007,1328178,,out_GRNvISR;out_BLUvISR,ANN=T,intergenic_region,MODIFIER,pspe_0.1.m1.5995-pspe_0.1.m1.6003,Q96AY4,TTC28 KIAA1043 TPRBK,Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio),https://www.uniprot.org/uniprot/Q96AY4,Q58L91,,Venom prothrombin activator oscutarin-C non-catalytic subunit (vPA) (Venom coagulation factor Va-like protein) [Cleaved into: Oscutarin-C non-catalytic subunit heavy chain; Oscutarin-C non-catalytic subunit light chain],https://www.uniprot.org/uniprot/Q58L91
Sc0000007,1546017,,out_BLUvISR,ANN=C,upstream_gene_variant,MODIFIER,pspe_0.1.m1.6011,Q6PEH9,slc39a10 zip10 zgc:63552,Zinc transporter ZIP10 (Solute carrier family 39 member 10) (Zrt- and Irt-like protein 10) (ZIP-10),https://www.uniprot.org/uniprot/Q6PEH9,NA,NA,NA,NA
Sc0000007,1546044,,out_BLUvISR,ANN=T,upstream_gene_variant,MODIFIER,pspe_0.1.m1.6011,Q6PEH9,slc39a10 zip10 zgc:63552,Zinc transporter ZIP10 (Solute carrier family 39 member 10) (Zrt- and Irt-like protein 10) (ZIP-10),https://www.uniprot.org/uniprot/Q6PEH9,NA,NA,NA,NA
Sc0000007,2191208,,out_REDvISR,ANN=C,intergenic_region,MODIFIER,pspe_0.1.m1.6060-pspe_0.1.m1.6065,O42350,COL1A2,Collagen alpha-2(I) chain (Alpha-2 type I collagen),https://www.uniprot.org/uniprot/O42350,Q59I44,caa43,2-haloacrylate reductase (EC 1.3.1.103),https://www.uniprot.org/uniprot/Q59I44
Sc0000007,2733800,,out_BLUvISR;out_REDvISR,ANN=A,synonymous_variant,LOW,pspe_0.1.m1.6087,NA,NA,NA,NA,NA,NA,NA,NA
Sc0000007,2789823,,out_BLUvISR,ANN=G,downstream_gene_variant,MODIFIER,pspe_0.1.m1.6093,Q14166,TTLL12 KIAA0153,Tubulin--tyrosine ligase-like protein 12 (Inactive tubulin--tyrosine ligase-like protein 12),https://www.uniprot.org/uniprot/Q14166,NA,NA,NA,NA
Sc0000007,2789845,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=A,downstream_gene_variant,MODIFIER,pspe_0.1.m1.6093,Q14166,TTLL12 KIAA0153,Tubulin--tyrosine ligase-like protein 12 (Inactive tubulin--tyrosine ligase-like protein 12),https://www.uniprot.org/uniprot/Q14166,NA,NA,NA,NA
Sc0000007,3211073,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=A,intergenic_region,MODIFIER,pspe_0.1.m1.6107-pspe_0.1.m1.6114,NA,NA,NA,NA,P16423,pol,Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM (Retrovirus-related Pol polyprotein from type II retrotransposable element R2DM) [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease],https://www.uniprot.org/uniprot/P16423
